BASE_OBJECT_NAME,USER_NAME,LAST_USAGE,USAGE_COUNT
"""UNIPRO_SRC.S3.TMP_HEADQUARTERS_DIMENSION_CD7D53""",UNIPRO,2023-12-13T16:03:40.661-08:00,1
"""UNIPRO_POC.DBT_JBAER_TRANSFORM.DIM_GTIN_XFRM""",JBAER,2023-12-14T18:05:08.913-08:00,1
"""UNIPRO_SRC.S3.HEADQUARTERS_DIMENSION""",JBAER,2023-12-14T18:04:31.536-08:00,1
"""UNIPRO_POC.DBT_JBAER_TRANSFORM.DIM_MEMBER_BRANCHES_XFRM""",JBAER,2023-12-14T18:05:17.222-08:00,1
"""UNIPRO_SRC.S3.TMP_HEADQUARTERS_DIMENSION_EC90B5""",UNIPRO,2023-12-17T16:05:08.733-08:00,1
"""UNIPRO_SRC.S3.TMP_SUPPLIER_DIMENSION_82418E""",UNIPRO,2023-12-13T16:05:20.185-08:00,1
"""UNIPRO_SRC.S3.TMP_HISTORY_54486A""",UNIPRO,2023-12-13T10:56:38.348-08:00,1
"""UNIPRO_SRC.S3.TMP_HISTORY_8B5081""",UNIPRO,2023-12-13T16:10:18.774-08:00,1
"""UNIPRO_SRC.S3.TMP_SUPPLIER_DIMENSION_B5963D""",UNIPRO,2023-12-13T11:24:27.893-08:00,1
"""UNIPRO_SRC.S3.TMP_HISTORY_FBC04D""",UNIPRO,2023-12-14T16:09:01.439-08:00,1
"""UNIPRO_POC.DBT_JBAER_TRANSFORM.PO_FACT_XFRM""",JBAER,2023-12-14T18:05:33.944-08:00,2
"""UNIPRO_POC.DBT_JBAER_TRANSFORM.PO_FACT_XFRM""",JBAER,2023-12-14T18:05:33.944-08:00,2
"""UNIPRO_SRC.S3.TMP_CAT_GROUP_DIMENSION_7696D9""",UNIPRO,2023-12-14T16:04:13.591-08:00,1
"""UNIPRO_SRC.S3.DATE_DIMENSION""",JBAER,2023-12-14T18:04:21.592-08:00,1
"""UNIPRO_SRC.S3.TMP_MEMBER_BRANCHES_DIMENSION_D6A3B2""",UNIPRO,2023-12-15T16:07:13.948-08:00,1
"""UNIPRO_SRC.S3.TMP_CAT_GROUP_DIMENSION_6A2D08""",UNIPRO,2023-12-17T16:06:32.449-08:00,1
"""UNIPRO_SRC.S3.TMP_MEMBER_BRANCHES_DIMENSION_7F4211""",UNIPRO,2023-12-17T16:07:16.035-08:00,1
"""UNIPRO_SRC.S3.TMP_HEADQUARTERS_DIMENSION_707724""",UNIPRO,2023-12-13T11:30:52.1-08:00,1
"""UNIPRO_POC.DBT_JBAER_TRANSFORM.DIM_DATE_XFRM""",JBAER,2023-12-14T18:05:05.138-08:00,1
"""UNIPRO_SRC.S3.SUPPLIER_DIMENSION""",JBAER,2023-12-14T18:05:01.847-08:00,1
"""UNIPRO_POC.DBT_JBAER_TRANSFORM.DIM_HEADQUARTERS_XFRM""",JBAER,2023-12-14T18:05:12.945-08:00,1
