2018 CPI forecasts,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18
Consumer Price Index item,2017-07-01 00:00:00,2017-08-01 00:00:00,2017-09-01 00:00:00,2017-10-01 00:00:00,2017-11-01 00:00:00,2017-12-01 00:00:00,2018-01-01 00:00:00,2018-02-01 00:00:00,2018-03-01 00:00:00,2018-04-01 00:00:00,2018-05-01 00:00:00,2018-06-01 00:00:00,2018-07-01 00:00:00,2018-08-01 00:00:00,2018-09-01 00:00:00,2018-10-01 00:00:00,2018-11-01 00:00:00,2018-12-01 00:00:00
All food,1.5 to 2.5,1.5 to 2.5,1.5 to 2.5,1.5 to 2.5,1.5 to 2.5,1.5 to 2.5,1.5 to 2.5,1.0 to 2.0,1.0 to 2.0,1.0 to 2.0,1.0 to 2.0,1.0 to 2.0,0.75 to 1.75,0.75 to 1.75,0.75 to 1.75,0.75 to 1.75,0.75 to 1.75,0.75 to 1.75
    Food away from home,2.0 to 3.0,2.0 to 3.0,2.0 to 3.0,2.0 to 3.0,2.0 to 3.0,2.0 to 3.0,2.0 to 3.0,2.0 to 3.0,2.0 to 3.0,2.0 to 3.0,2.0 to 3.0,2.0 to 3.0,2.0 to 3.0,2.0 to 3.0,2.0 to 3.0,2.0 to 3.0,2.0 to 3.0,2.0 to 3.0
    Food at home,1.0 to 2.0,1.0 to 2.0,1.0 to 2.0,1.0 to 2.0,1.0 to 2.0,1.0 to 2.0,1.0 to 2.0,0.5 to 1.5,0.5 to 1.5,0.5 to 1.5,0.5 to 1.5,0.5 to 1.5,0.0 to 1.0,0.0 to 1.0,0.0 to 1.0,0.0 to 1.0,0.0 to 1.0,0.0 to 1.0
"        Meats, poultry, and fish",1.0 to 2.0,1.0 to 2.0,1.0 to 2.0,1.0 to 2.0,1.0 to 2.0,1.0 to 2.0,1.0 to 2.0,0.5 to 1.5,0.5 to 1.5,0.5 to 1.5,0.5 to 1.5,0.5 to 1.5,0.5 to 1.5,0.5 to 1.5,0.5 to 1.5,0.5 to 1.5,0.5 to 1.5,0.5 to 1.5
            Meats,1.5 to 2.5,1.5 to 2.5,1.5 to 2.5,1.5 to 2.5,1.5 to 2.5,1.5 to 2.5,1.0 to 2.0,0.25 to 1.25,0.25 to 1.25,0.25 to 1.25,0.25 to 1.25,0.25 to 1.25,0.25 to 1.25,0.25 to 1.25,0.25 to 1.25,0.0 to 1.0,0.0 to 1.0,0.0 to 1.0
                Beef and veal,2.0 to 3.0,2.0 to 3.0,1.0 to 2.0,1.0 to 2.0,1.5 to 2.5,2.0 to 3.0,1.5 to 2.5,0.5 to 1.5,0.5 to 1.5,0.5 to 1.5,0.5 to 1.5,0.5 to 1.5,0.5 to 1.5,0.5 to 1.5,1.0 to 2.0,1.25 to 2.25,1.25 to 2.25,1.25 to 2.25
                Pork,1.5 to 2.5,1.5 to 2.5,1.5 to 2.5,0.75 to 1.75,0.75 to 1.75,0.75 to 1.75,-0.5 to 0.5,-0.5 to 0.5,-1.0 to 0.0,-1.0 to 0.0,-1.0 to 0.0,-1.0 to 0.0,-1.0 to 0.0,-1.0 to 0.0,-1.0 to 0.0,-1.0 to 0.0,-0.75 to 0.25,-0.75 to 0.25
                Other meats,1.0 to 2.0,1.0 to 2.0,1.0 to 2.0,1.0 to 2.0,1.0 to 2.0,1.0 to 2.0,1.0 to 2.0,0.5 to 1.5,0.5 to 1.5,0.5 to 1.5,0.5 to 1.5,0.5 to 1.5,0.0 to 1.0,0.0 to 1.0,-0.5 to 0.5,-0.75 to 0.25,-0.75 to 0.25,-0.75 to 0.25
             Poultry,1.5 to 2.5,1.5 to 2.5,1.5 to 2.5,0.25 to 1.25,0.25 to 1.25,0.25 to 1.25,1.5 to 2.5,1.5 to 2.5,1.5 to 2.5,1.5 to 2.5,1.5 to 2.5,1.0 to 2.0,0.5 to 1.5,0.5 to 1.5,0.5 to 1.5,0.0 to 1.0,0.0 to 1.0,0.0 to 1.0
