2016 CPI forecasts,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18
Consumer Price Index item,2015-07-01 00:00:00,2015-08-01 00:00:00,2015-09-01 00:00:00,2015-10-01 00:00:00,2015-11-01 00:00:00,2015-12-01 00:00:00,2016-01-01 00:00:00,2016-02-01 00:00:00,2016-03-01 00:00:00,2016-04-01 00:00:00,2016-05-01 00:00:00,2016-06-01 00:00:00,2016-07-01 00:00:00,2016-08-01 00:00:00,2016-09-01 00:00:00,2016-10-01 00:00:00,2016-11-01 00:00:00,2016-12-01 00:00:00
All food,2.0 to 3.0,2.0 to 3.0,2.0 to 3.0,2.0 to 3.0,2.0 to 3.0,2.0 to 3.0,2.0 to 3.0,2.0 to 3.0,2.0 to 3.0,1.5 to 2.5,1.5 to 2.5,1.0 to 2.0,1.0 to 2.0,1.0 to 2.0,1.0 to 2.0,0.5 to 1.5,0.25 to 1.25,0.25 to 1.25
    Food away from home,2.5 to 3.5,2.5 to 3.5,2.5 to 3.5,2.5 to 3.5,2.5 to 3.5,2.5 to 3.5,2.5 to 3.5,2.5 to 3.5,2.5 to 3.5,2.5 to 3.5,2.5 to 3.5,2.5 to 3.5,2.5 to 3.5,2.5 to 3.5,2.5 to 3.5,2.5 to 3.5,2.5 to 3.5,2.0 to 3.0
    Food at home,2.0 to 3.0,2.0 to 3.0,2.0 to 3.0,2.0 to 3.0,2.0 to 3.0,2.0 to 3.0,2.0 to 3.0,2.0 to 3.0,1.5 to 2.5,1.0 to 2.0,1.0 to 2.0,0.5 to 1.5,0.25 to 1.25,0.0 to 1.0,-0.5 to 0.5,-0.75 to 0.25,-1.25 to -0.25,-1.50 to -0.50
"        Meats, poultry, and fish",2.5 to 3.5,2.5 to 3.5,2.5 to 3.5,2.5 to 3.5,2.5 to 3.5,2.0 to 3.0,2.0 to 3.0,1.5 to 2.5,1.0 to 2.0,0.5 to 1.5,0.0 to 1.0,-1.0 to 0.0,-1.0 to 0.0,-1.5 to -0.5,-2.0 to -1.0,-3.0 to -2.0,-3.5 to -2.5,-3.5 to -2.5
            Meats,2.0 to 3.0,2.0 to 3.0,2.0 to 3.0,2.0 to 3.0,2.0 to 3.0,1.5 to 2.5,1.5 to 2.5,1.0 to 2.0,0.0 to 1.0,0.0 to 1.0,-0.5 to 0.5,-1.5 to -0.5,-1.5 to -0.5,-2.0 to -1.0,-3.0 to -2.0,-3.5 to -2.5,-4.5 to -3.5,-4.5 to -3.5
                Beef and veal,2.5 to 3.5,2.5 to 3.5,2.0 to 3.0,1.5 to 2.5,1.5 to 2.5,1.0 to 2.0,0.0 to 1.0,-1.0 to 0.0 ,-1.0 to 0.0 ,-2.0 to -1.0 ,-3.0 to -2.0 ,-4.0 to -3.0 ,-4.0 to -3.0 ,-5.0 to -4.0 ,-5.5 to -4.5 ,-6.5 to -5.5 ,-6.75 to -5.75 ,-6.75 to -5.75 
                Pork,1.5 to 2.5,1.5 to 2.5,1.5 to 2.5,1.5 to 2.5,1.5 to 2.5,1.5 to 2.5,1.5 to 2.5,1.5 to 2.5,0.0 to 1.0,-0.5 to 0.5,-0.5 to 0.5,-1.5 to -0.5,-1.5 to -0.5,-1.5 to -0.5,-3.0 to -2.0,-3.5 to -2.5,-4.25 to -3.25,-4.25 to -3.25
                Other meats,2.5 to 3.5,2.5 to 3.5,2.5 to 3.5,2.5 to 3.5,2.5 to 3.5,2.5 to 3.5,2.5 to 3.5,2.5 to 3.5,2.5 to 3.5,2.5 to 3.5,1.5 to 2.5,1.5 to 2.5,1.5 to 2.5,1.5 to 2.5,1.5 to 2.5,0.0 to 1.0,-1.0 to 0.0,-1.25 to -0.25
             Poultry,2.5 to 3.5,2.5 to 3.5,2.5 to 3.5,2.5 to 3.5,2.5 to 3.5,2.0 to 3.0,2.0 to 3.0,2.0 to 3.0,1.0 to 2.0,1.0 to 2.0,0.0 to 1.0,0.0 to 1.0,-1.0 to 0.0,-2.0 to -1.0,-2.0 to -1.0,-2.0 to -1.0,-3.0 to -2.0,-3.0 to -2.0
             Fish and seafood,2.5 to 3.5,2.5 to 3.5,2.5 to 3.5,2.5 to 3.5,2.5 to 3.5,2.5 to 3.5,2.5 to 3.5,2.5 to 3.5,1.5 to 2.5,1.5 to 2.5,1.5 to 2.5,0.0 to 1.0,0.0 to 1.0,0.0 to 1.0,-0.5 to 0.5,-0.5 to 0.5,-1.0 to 0.0,-1.0 to 0.0
        Eggs,2.5 to 3.5,2.5 to 3.5,2.5 to 3.5,2.5 to 3.5,0.0 to 1.0,0.0 to 1.0,0.0 to 1.0,-1.5 to -0.5,-1.5 to -0.5,-10.0 to -9.0,-10.0 to -9.0,-13.0 to -12.0,-15.0 to -14.0,-15.0 to -14.0,-19.0 to -18.0,-19.0 to -18.0,-22.0 to -21.0,-22.0 to -21.0
        Dairy products,2.0 to 3.0,2.0 to 3.0,2.0 to 3.0,2.0 to 3.0,2.0 to 3.0,2.0 to 3.0,2.0 to 3.0,2.0 to 3.0,2.0 to 3.0,2.0 to 3.0,1.0 to 2.0,-0.5 to 0.5,-1.5 to -0.5,-1.5 to -0.5,-1.5 to -0.5,-2.0 to -1.0,-2.5 to -1.5,-2.5 to -1.5
        Fats and oils,1.5 to 2.5,1.5 to 2.5,1.5 to 2.5,1.5 to 2.5,1.5 to 2.5,0.0 to 1.0,0.0 to 1.0,0.0 to 1.0,0.0 to 1.0,0.0 to 1.0,0.0 to 1.0,0.0 to 1.0,0.0 to 1.0,0.0 to 1.0,-0.5 to 0.5,-0.5 to 0.5,-0.5 to 0.5,-0.75 to 0.25
        Fruits and vegetables,2.0 to 3.0,2.0 to 3.0,2.0 to 3.0,2.0 to 3.0,2.0 to 3.0,2.0 to 3.0,2.0 to 3.0,2.0 to 3.0,2.0 to 3.0,2.0 to 3.0,2.0 to 3.0,2.0 to 3.0,1.5 to 2.5,1.0 to 2.0,1.0 to 2.0,1.0 to 2.0,1.0 to 2.0,0.75 to 1.75
            Fresh fruits & vegetables,2.5 to 3.5,2.5 to 3.5,2.5 to 3.5,2.5 to 3.5,2.5 to 3.5,2.5 to 3.5,2.5 to 3.5,2.5 to 3.5,2.5 to 3.5,2.5 to 3.5,2.5 to 3.5,2.5 to 3.5,2.0 to 3.0,1.0 to 2.0,1.0 to 2.0,1.0 to 2.0,1.0 to 2.0,1.0 to 2.0
              Fresh fruits,2.5 to 3.5,2.5 to 3.5,2.5 to 3.5,2.5 to 3.5,2.5 to 3.5,2.5 to 3.5,2.5 to 3.5,2.5 to 3.5,2.5 to 3.5,2.5 to 3.5,2.5 to 3.5,2.5 to 3.5,1.5 to 2.5,1.5 to 2.5,1.5 to 2.5,1.5 to 2.5,2.0 to 3.0,2.0 to 3.0
              Fresh vegetables,2.0 to 3.0,2.0 to 3.0,2.0 to 3.0,2.0 to 3.0,2.0 to 3.0,2.0 to 3.0,2.0 to 3.0,2.5 to 3.5,2.0 to 3.0,2.0 to 3.0,2.0 to 3.0,2.0 to 3.0,2.0 to 3.0,0.5 to 1.5,0.5 to 1.5,0.5 to 1.5,0.5 to 1.5,0.0 to 1.0
