2020 CPI forecasts,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18
Consumer Price Index item,2019-07-01 00:00:00,2019-08-01 00:00:00,2019-09-01 00:00:00,2019-10-01 00:00:00,2019-11-01 00:00:00,2019-12-01 00:00:00,2020-01-01 00:00:00,2020-02-01 00:00:00,2020-03-01 00:00:00,2020-04-01 00:00:00,2020-05-01 00:00:00,2020-06-01 00:00:00,2020-07-01 00:00:00,2020-08-01 00:00:00,2020-09-01 00:00:00,2020-10-01 00:00:00,2020-11-01 00:00:00,2020-12-01 00:00:00
All food,1.5 to 2.5,1.5 to 2.5,1.5 to 2.5,1.5 to 2.5,1.5 to 2.5,1.5 to 2.5,1.5 to 2.5,1.5 to 2.5,1.5 to 2.5,1.5 to 2.5,2.0 to 3.0,2.0 to 3.0,2.0 to 3.0,2.0 to 3.0,2.5 to 3.5,2.5 to 3.5 ,2.5 to 3.5,2.5 to 3.5
    Food away from home,2.0 to 3.0,2.0 to 3.0,2.0 to 3.0,2.0 to 3.0,2.0 to 3.0,2.0 to 3.0,2.0 to 3.0,2.0 to 3.0,1.5 to 2.5,1.5 to 2.5,1.5 to 2.5,1.5 to 2.5, 1.5 to 2.5, 1.5 to 2.5,2.0 to 3.0 ,2.0 to 3.0 ,2.5 to 3.5,2.5 to 3.5
    Food at home,0.5 to 1.5,0.5 to 1.5,0.5 to 1.5,0.5 to 1.5,0.5 to 1.5,0.5 to 1.5,0.5 to 1.5,0.5 to 1.5,0.5 to 1.5,0.5 to 1.5,2.0 to 3.0,2.5 to 3.5, 2.5 to 3.5, 2.5 to 3.5,2.5 to 3.5,2.5 to 3.5,3.0 to 4.0 ,3.0 to 4.0
"        Meats, poultry, and fish",0.0 to 1.0,0.0 to 1.0,0.0 to 1.0,0.0 to 1.0,0.0 to 1.0,0.0 to 1.0,0.5 to 1.5,0.5 to 1.5,0.5 to 1.5,0.5 to 1.5,2.0 to 3.0,4.0 to 5.0, 4.0 to 5.0, 4.0 to 5.0,5.0 to 6.0,5.5 to 6.5 ,5.5 to 6.5,5.5 to 6.5
            Meats,0.0 to 1.0,0.0 to 1.0,0.0 to 1.0,0.0 to 1.0,0.0 to 1.0,0.0 to 1.0,0.5 to 1.5,0.5 to 1.5,0.5 to 1.5,0.5 to 1.5,2.5 to 3.5,5.0 to 6.0, 5.0 to 6.0, 5.0 to 6.0,6.0 to 7.0,6.5 to 7.5 ,7.0 to 8.0 ,7.0 to 8.0
                Beef and veal,0.0 to 1.0,0.0 to 1.0,0.0 to 1.0,0.0 to 1.0,0.0 to 1.0,0.0 to 1.0,1.0 to  2.0,1.0 to 2.0,1.0 to 2.0,1.0 to 2.0,3.0 to 4.0,7.5 to 8.5, 7.5 to 8.5, 7.5 to 8.5,8.5 to 9.5,8.5 to 9.5 ,9.0 to 10.0 ,9.0 to 10.0
                Pork,0.5 to 1.5,0.5 to 1.5,1.5 to 2.5,1.5 to 2.5,1.5 to 2.5,1.5 to 2.5,2.0 to 3.0,2.0 to 3.0,2.0 to 3.0,2.0 to 3.0,2.5 to 3.5,4.0 to 5.0, 4.0 to 5.0 , 4.0 to 5.0 ,5.0 to 6.0, 6.0 to 7.0 , 6.0 to 7.0, 6.0 to 7.0
                Other meats,0.0 to 1.0,0.0 to 1.0,0.0 to 1.0,0.0 to 1.0,0.0 to 1.0,0.0 to 1.0,0.0 to 1.0,0.0 to 1.0,0.0 to 1.0,0.0 to 1.0,2.0 to 3.0,2.5 to 3.5, 2.5 to 3.5 , 2.5 to 3.5 ,3.0 to 4.0,3.0 to 4.0,3.5 to 4.5 ,3.5 to 4.5
             Poultry,0.0 to 1.0,0.0 to 1.0,0.5 to 1.5,0.5 to 1.5,0.5 to 1.5,0.5 to 1.5,0.5 to 1.5,0.5 to 1.5,0.5 to 1.5,0.5 to 1.5,2.0 to 3.0,2.5 to 3.5, 2.5 to 3.5, 2.5 to 3.5,4.0 to 5.0 , 4.5 to 5.5 , 5.0 to 6.0 , 5.0 to 6.0
