2022 CPI forecasts,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18
Consumer Price Index item,2021-07-01 00:00:00,2021-08-01 00:00:00,2021-09-01 00:00:00,2021-10-01 00:00:00,2021-11-01 00:00:00,2021-12-01 00:00:00,2022-01-01 00:00:00,2022-02-01 00:00:00,2022-03-01 00:00:00,2022-04-01 00:00:00,2022-05-01 00:00:00,2022-06-01 00:00:00,2022-07-01 00:00:00,2022-08-01 00:00:00,2022-09-01 00:00:00,2022-10-01 00:00:00,2022-11-01 00:00:00,2022-12-01 00:00:00
All food,2.0 to 3.0,2.0 to 3.0,2.0 to 3.0,2.0 to 3.0,2.0 to 3.0,2.0 to 3.0,2.0 to 3.0,2.5 to 3.5,4.5 to 5.5,5.0 to 6.0,6.5 to 7.5,7.5 to 8.5,8.5 to 9.5,8.5 to 9.5,9.0 to 10.0,9.5 to 10.5,9.5 to 10.5,9.5 to 10.5
    Food away from home, 3.0 to 4.0, 3.0 to 4.0, 3.0 to 4.0, 3.0 to 4.0, 3.0 to 4.0, 3.0 to 4.0,3.5 to 4.5,4.0 to 5.0,5.5 to 6.5,5.5 to 6.5,6.0 to 7.0,6.0 to 7.0,6.5 to 7.5,6.5 to 7.5,6.5 to 7.5,7.0 to 8.0,7.0 to 8.0,7.0 to 8.0
    Food at home,1.5 to 2.5,1.5 to 2.5,1.5 to 2.5,1.5 to 2.5,1.5 to 2.5,1.5 to 2.5,1.5 to 2.5,2.0 to 3.0,3.0 to 4.0,5.0 to 6.0,7.0 to 8.0,8.5 to 9.5,10.0 to 11.0,10.0 to 11.0,10.5 to 11.5,11.0 to 12.0,11.0 to 12.0,11.0 to 12.0
"        Meats, poultry, and fish",2.0 to 3.0,2.0 to 3.0,2.0 to 3.0,2.0 to 3.0,2.0 to 3.0,2.0 to 3.0,2.5 to 3.5,2.5 to 3.5,3.5 to 4.5,5.5 to 6.5,7.0 to 8.0,8.5 to 9.5,9.0 to 10.0,9.5 to 10.5,9.5 to 10.5,9.5 to 10.5,9.5 to 10.5,9.5 to 10.5
            Meats,2.0 to 3.0,2.0 to 3.0,2.0 to 3.0,2.0 to 3.0,2.0 to 3.0,2.0 to 3.0,3.0 to 4.0,3.0 to 4.0,3.0 to 4.0,4.5 to 5.5,6.5 to 7.5,7.5 to 8.5,7.5 to 8.5,8.0 to 9.0,8.0 to 9.0,8.0 to 9.0,8.0 to 9.0,8.0 to 9.0
                Beef and veal,2.0 to 3.0,2.0 to 3.0,2.0 to 3.0,2.0 to 3.0,2.0 to 3.0,2.0 to 3.0,3.0 to 4.0,3.0 to 4.0,3.0 to 4.0,6.0 to 7.0,6.0 to 7.0,6.0 to 7.0,6.0 to 7.0,6.0 to 7.0,5.5 to 6.5,5.5 to 6.5,5.0 to 6.0,5.0 to 6.0
                Pork,2.0 to 3.0,2.0 to 3.0,2.0 to 3.0,2.0 to 3.0,2.0 to 3.0,2.0 to 3.0,3.0 to 4.0,3.0 to 4.0,3.0 to 4.0,4.0 to 5.0,6.0 to 7.0,7.0 to 8.0,7.0 to 8.0,8.0 to 9.0,8.0 to 9.0,8.5 to 9.5,8.5 to 9.5,8.5 to 9.5
                Other meats,1.0 to 2.0 ,1.0 to 2.0 ,1.0 to 2.0 , 1.0 to 2.0 , 1.0 to 2.0 , 1.0 to 2.0 , 1.0 to 2.0 , 1.0 to 2.0 ,2.5 to 3.5,3.5 to 4.5,9.0 to 10.0,11.5 to 12.5,12.0 to 13.0,13.0 to 14.0,13.0 to 14.0,13.0 to 14.0,13.5 to 14.5,13.5 to 14.5
             Poultry,1.0 to 2.0 ,1.0 to 2.0 ,1.0 to 2.0 ,1.0 to 2.0 ,1.0 to 2.0 ,1.0 to 2.0 ,2.0 to 3.0 ,2.0 to 3.0 ,6.0 to 7.0,7.5 to 8.5,8.5 to 9.5,13.0 to 14.0,14.5 to 15.5,14.5 to 15.5,14.5 to 15.5,14.5 to 15.5,14.5 to 15.5,14.0 to 15.0
